model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	7.9028215	0	0	10	0	-0.30192656	-3.6255884	-5.1261661	0.78331464	-4.6376188	-0.57463688	-0.57475681	-4.8186678	0	3.5	11.195	-4.4250675e-05	6.7605485e-06	4.8265389e-06	-7.0819913e-06	1.7832786e-05	4.8923801e-06	-0.26705748	-9.4512335e-06	9.9467577e-05	-5.3086845e-05	2.4140601	0.63736983	0.97591875	2.6711091	0.15533722	-0.5376204	-0.0011017599	2.3620475	2.4244166e-06	-1.210036e-05	-4.0843018e-05	-3.2329244e-06	2.7257063	0.0054860883	-3.1851866e-05	4.601101e-05	0.63573965	2.4146617	2.6716641	0.97380035	0.5376651	-0.15514245	2.3620493	-0.0060736453	2.2703569e-06	9.6099656e-06	-3.2842486e-06	6.6083841e-06	0.0010026614	2.7257015	2.1	1	0.2	-0.11993533	1.4322227e-05	-5.2993956e-06	2.0030444e-05	-7.5315362e-06	-0.26701968	-1.0096572e-05	-2.281258e-05	4.5061655e-08	0.18376102	0.4382116	1.2281274	1.666339	-0.67560125	-0.26846814	0.11529435	0.33885217	1.998329	1.4068324	1.821346	0.045561173	1.9815704	1.9745514	1.9745451	1.3866305	1.3263712	5.1924099e-05	-4.9308569e-06	-5.8481141e-06	8.0183867e-06	-1.283813e-05	-2.3451851e-05	0.56743935	-1.4787399e-08	-0.00013361229	-7.5826481e-06	-1.1289439	-0.34132741	-0.58183438	-0.22573189	0.09285824	0.33942358	0.00053148923	-0.046161586	-1.2052574e-05	2.8826919e-06	9.0096641e-05	-1.1397229e-06	-1.2763385	-0.00010942792	-3.2800229e-05	-4.5064574e-05	-0.34117452	-1.1293808	-0.22597919	-0.58104222	-0.33941443	-0.092897073	-0.046163396	0.0029331355	-8.087057e-07	-2.5988822e-05	1.0085371e-06	-6.8724628e-06	-2.0651331e-05	-1.2763356	0.13139286	-5.9585474e-06	6.5973998e-06	-2.441067e-05	6.7781901e-06	0.56736839	1.7607724e-05	2.1269304e-05	2	2	0	0	-95.044667	R0:S0:1	1.3263712	-61.56	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D/M	boucle2.py	2023-10-27@15:46
model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	7.9028291	0	0	10	0	-0.3019769	-3.6255419	-5.1260407	0.78320866	-4.6375631	-0.57459796	-0.57468503	-4.8186345	0	3.5	11.195	-5.6763499e-05	5.066778e-06	-1.1753796e-06	2.9028502e-06	-5.4402056e-06	5.3874809e-06	-0.26703831	-1.6444267e-06	-5.0842584e-06	-4.2894968e-05	2.4140606	0.63736991	0.97586352	2.6710586	0.15535479	-0.5375788	-0.0010724814	2.3620303	9.961387e-06	8.0288219e-06	1.4858733e-06	4.9859171e-06	2.7256913	0.0054880555	3.4525889e-06	-3.3141629e-05	0.63577515	2.4146451	2.6716033	0.9737779	0.53763651	-0.15513249	2.362034	-0.0060852987	-2.3437452e-06	-5.4370963e-06	-5.9375766e-06	-7.7101677e-06	0.00096960567	2.7256855	2.1	1	0.2	-0.11991569	-1.2889515e-05	-5.3177849e-07	7.0189042e-06	-7.3943745e-07	-0.26701246	-7.6913375e-06	6.3909765e-06	-8.4053624e-09	0.18376156	0.43821139	1.2281276	1.666339	-0.67560081	-0.26846741	0.11529406	0.33885355	1.9983296	1.4068242	1.8213515	0.04555775	1.9815707	1.9745517	1.9745467	1.386631	1.3263732	6.5632852e-05	-4.5190861e-06	1.9931872e-07	-4.196305e-06	3.6004411e-06	-2.4430683e-05	0.56741745	-2.2110729e-06	5.040888e-06	2.1270346e-05	-1.1289557	-0.34132705	-0.58181849	-0.22572823	0.092848914	0.33940905	0.00051837053	-0.046160205	-2.1032587e-05	-9.6141449e-07	-8.6915209e-07	2.4473329e-07	-1.2763389	-0.00010841136	1.5342783e-06	6.5590809e-05	-0.34117624	-1.1293841	-0.22597033	-0.5810405	-0.33940141	-0.092893409	-0.046162484	0.002939728	6.0010592e-07	7.598451e-06	-2.3231603e-07	1.7076646e-05	-1.8852846e-05	-1.276336	0.13137143	7.2496629e-06	8.5749159e-07	-7.0146267e-06	9.1488269e-07	0.56736176	1.2857852e-05	-6.6823855e-06	2	2	0	0	-95.043944	R0:S0:1	1.3263732	-61.56	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D/M	boucle2.py	2023-10-27@15:47
2x2_2C_8b_C2v_L	7.9023667	0	0	10	0	-0.30618577	-3.6105997	-5.1193796	0.79336612	-4.6343548	-0.58196284	-0.5820902	-4.7910817	0	3.5	11.185	-2.077909e-05	7.7931007e-06	1.5538926e-05	-8.511789e-06	9.71798e-06	-7.8455579e-07	-0.26637691	1.2854225e-06	0.00010141494	3.4258096e-05	2.4120331	0.63522291	0.97697649	2.6726969	0.1558335	-0.53819159	-0.001592438	2.3633076	-1.3389529e-05	-1.2845702e-05	-1.7871142e-05	4.6466482e-06	2.7205265	0.0031022454	3.6189715e-05	-7.9404882e-06	0.63466517	2.4122472	2.6728867	0.97623207	0.53821649	-0.15575043	2.3633132	-0.0034422519	2.0441695e-06	9.1687581e-06	4.1558867e-06	2.5189266e-05	0.0014442932	2.7205242	2.1	1	0.2	-0.11852717	3.4994625e-05	-3.7254235e-06	-1.3210699e-05	-2.8743424e-06	-0.26633881	1.1841894e-06	-1.5811439e-05	-1.680217e-07	0.18364687	0.43822158	1.2281203	1.6663419	-0.67564943	-0.26849617	0.1153062	0.33919255	1.9983584	1.4069689	1.8209324	0.045709909	1.9815572	1.9745547	1.9745491	1.3854366	1.3267143	2.4374906e-05	-1.9770096e-06	-1.5553735e-05	8.1421041e-06	-4.3924176e-06	-3.0647293e-06	0.56748972	4.9980842e-06	-0.00016254889	-3.3568968e-06	-1.1286133	-0.34159633	-0.58205412	-0.22636051	0.092966642	0.33990302	0.0007683911	-0.046219226	2.7489545e-05	1.9052581e-06	3.193289e-05	-1.918095e-06	-1.2769198	-6.12917e-05	-4.6768381e-05	1.2473904e-06	-0.34154337	-1.128767	-0.22644749	-0.58177639	-0.33990083	-0.092982613	-0.046220459	0.001659866	-1.9103344e-06	-1.3668161e-05	8.295967e-07	-5.1814816e-05	-2.798455e-05	-1.2769191	0.13009046	-1.7895231e-05	4.7794826e-06	1.316337e-05	4.7022332e-06	0.56742491	-3.8260537e-06	1.8972358e-05	2	2	0	0	-94.933215	R0:S0:1	1.3267143	-61.48	uncorrelated	2	817c5bc	v2.2.6	YY	5	sharp_wc_2.0_b_50	self-energy/D/M	boucle2.py	2023-10-27@15:53
2x2_2C_8b_C2v_L	7.9032766	0	0	10	0	-0.29642339	-3.6395985	-5.1313073	0.7731398	-4.6415092	-0.56731536	-0.56743611	-4.8467972	0	3.5	11.205	-4.0118971e-05	-2.3753977e-06	-4.2727887e-06	1.5691434e-05	3.7635822e-05	7.1387468e-06	-0.26776024	-6.2419414e-06	-6.7361793e-05	-2.9525395e-05	2.415117	0.63606919	0.97694188	2.6702174	0.15512008	-0.53715466	-0.003235565	2.3609465	1.5966286e-06	-1.5426228e-05	-4.2057223e-05	2.9738722e-06	2.7310146	0.0074972709	1.2019011e-05	1.9620757e-05	0.63500433	2.415513	2.6705807	0.97554921	0.53719931	-0.15496942	2.3609576	-0.0082902242	3.2216726e-05	-5.6350516e-06	-6.0368006e-08	4.2753414e-06	0.0029238415	2.731002	2.1	1	0.2	-0.12088476	-1.2095114e-05	6.7416923e-06	-2.5378636e-06	3.8697802e-06	-0.26771684	-1.0023682e-05	-3.3306912e-05	1.3071209e-07	0.18387668	0.43820136	1.2281343	1.6663357	-0.67555289	-0.2684401	0.11528248	0.33850392	1.9983104	1.4073857	1.821082	0.045408944	1.9815831	1.9745483	1.974539	1.3878588	1.3260198	4.6327708e-05	-3.6834195e-06	4.8760128e-06	-1.7783527e-05	-3.3454142e-05	-2.5898853e-05	0.56741742	2.5346625e-07	9.7317437e-05	-2.5369529e-06	-1.1288452	-0.34073435	-0.58246947	-0.22560011	0.092671397	0.33891662	0.0015675296	-0.046105314	-9.3264426e-06	3.3364247e-06	9.4063547e-05	-1.6675797e-06	-1.275735	-0.00014692146	2.4906796e-05	-1.9778521e-05	-0.3406336	-1.1291324	-0.22576224	-0.58194903	-0.3389147	-0.092700203	-0.04610685	0.0040128796	-2.0821972e-06	3.5969305e-06	-4.6186685e-09	-5.5642119e-06	-5.5785171e-05	-1.2757299	0.13222956	6.0120626e-06	-7.0578401e-06	2.8451482e-06	-8.8780506e-06	0.56731369	2.0521583e-05	2.5196675e-05	2	2	0	0	-95.15079	R0:S0:1	1.3260198	-61.64	uncorrelated	2	817c5bc	v2.2.6	YY	5	sharp_wc_2.0_b_50	self-energy/D/M	boucle2.py	2023-10-27@15:54
2x2_2C_8b_C2v_L	7.9019068	0	0	10	0	-0.30740817	-3.5919552	-5.1073928	0.80285276	-4.63064	-0.58889722	-0.5890024	-4.762165	0	3.5	11.175	-2.437573e-05	1.340426e-05	-4.79951e-06	-3.6253524e-05	-1.4076329e-05	3.5274802e-06	-0.26556497	-4.0204958e-08	4.0492246e-05	4.9290177e-05	2.4056967	0.6257138	0.98849366	2.67523	0.15735748	-0.53885477	-0.003917144	2.3644079	2.1711007e-05	9.9746954e-06	3.8881456e-05	1.7142816e-05	2.7149313	0.0054540228	9.9667632e-06	-0.00018539194	0.62480347	2.4060335	2.6755258	0.98729874	0.53887664	-0.15723336	2.3644101	-0.00607257	2.047324e-05	-9.3938899e-06	2.9066908e-06	-4.5380933e-05	0.0035134127	2.7149205	2.1	1	0.2	-0.11590921	4.5681236e-06	-2.2773446e-05	-2.4545203e-05	1.0224153e-05	-0.26553417	-9.6754992e-06	3.2004546e-05	1.3162115e-07	0.18353214	0.4382311	1.2281139	1.666345	-0.67570027	-0.26852283	0.11531764	0.33956741	1.9984155	1.4091893	1.8184355	0.045842565	1.9815452	1.9745691	1.9745636	1.3841587	1.3270942	2.878338e-05	1.8784367e-06	4.3053687e-06	3.8573904e-05	4.6763133e-06	-1.3719548e-05	0.56741856	-1.6049443e-05	-6.7676166e-05	6.2494906e-05	-1.1261168	-0.34120439	-0.58641616	-0.2280433	0.092786579	0.3402964	0.0018846131	-0.046264021	-4.4021933e-05	-3.1606225e-06	-6.8997895e-05	1.2043849e-06	-1.2775504	-0.00010839665	-1.8896583e-05	0.00025007588	-0.34111751	-1.126364	-0.22818071	-0.58597219	-0.3402845	-0.092814271	-0.046264526	0.0029223885	1.2653127e-06	1.2772657e-05	-2.2220379e-06	9.5005149e-05	-7.0357668e-05	-1.2775479	0.12757079	2.8753083e-07	3.0247665e-05	3.1619464e-05	-1.2656934e-05	0.56735809	1.6429052e-05	-3.5332321e-05	2	2	0	0	-94.792345	R0:S0:1	1.3270942	-61.4	uncorrelated	2	817c5bc	v2.2.6	YY	5	sharp_wc_2.0_b_50	self-energy/D/M	boucle2.py	2023-10-27@16:00
2x2_2C_8b_C2v_L	7.9037317	0	0	10	0	-0.29101589	-3.655757	-5.1415095	0.76364172	-4.6445502	-0.55970285	-0.56002243	-4.8765179	0	3.5	11.215	9.491385e-05	9.3281136e-06	1.4979677e-06	-3.642627e-05	0.00012414569	2.3435759e-05	-0.2684526	-1.6490327e-05	5.8932744e-05	2.3984638e-05	2.4193782	0.63939937	0.96960167	2.6692702	0.1542722	-0.53696636	0.0040107192	2.3596293	2.2619305e-06	-7.3242647e-05	-0.00010758572	1.1356527e-05	2.7367403	0.0072743635	-3.8056652e-06	-0.00011489261	0.64133704	2.4186577	2.6685827	0.97211232	0.53682364	-0.15456672	2.3596581	-0.0079839009	5.5372501e-05	2.8653375e-05	-2.2547558e-05	2.770106e-05	-0.0036000218	2.7367227	2.1	1	0.2	-0.1221832	4.2914165e-06	-1.7954438e-05	-1.1307522e-05	-7.4296394e-06	-0.26837372	-1.7580023e-05	-0.00010264203	7.9469266e-07	0.18399101	0.43819153	1.2281407	1.6663322	-0.67550285	-0.26841335	0.11527098	0.3381272	1.9982835	1.4064083	1.8223345	0.045290361	1.9815951	1.9745475	1.974539	1.3891909	1.3256377	-0.00010795825	6.9417293e-06	-3.1192181e-07	4.2931653e-05	-0.00010547698	-5.5695476e-05	0.56729341	-3.4104546e-05	-9.2167403e-05	4.2228791e-05	-1.130508	-0.3405699	-0.57971679	-0.22482573	0.092681173	0.3385861	-0.00194843	-0.046053403	-3.2205598e-05	1.3061266e-05	0.00025745913	-2.8811329e-06	-1.2750665	-0.00014871692	-2.3974895e-05	0.00016731653	-0.34075565	-1.1299922	-0.22452935	-0.58065728	-0.33855137	-0.092638251	-0.046052273	0.0038666565	-6.0155428e-06	-8.4331443e-05	4.4876622e-06	-3.5412837e-05	6.6880838e-05	-1.2750605	0.13342276	5.8651728e-07	2.3895892e-05	1.4534769e-05	-1.0415267e-06	0.567192	6.043723e-05	8.1401729e-05	2	2	0	0	-95.272463	R0:S0:1	1.3256377	-61.72	uncorrelated	2	817c5bc	v2.2.6	YY	5	sharp_wc_2.0_b_50	self-energy/D/M	boucle2.py	2023-10-27@16:01
2x2_2C_8b_C2v_L	7.9014897	0	0	10	0	-0.30927027	-3.5750276	-5.0970061	0.8121589	-4.6269919	-0.59571219	-0.5956248	-4.7331723	0	3.5	11.165	6.8527984e-07	1.1301758e-05	5.2843444e-05	-9.2829724e-05	-7.7871505e-05	2.9400484e-05	-0.26468374	3.0839706e-05	0.00061189662	1.5314641e-05	2.4018531	0.61958335	0.99335114	2.6770563	0.1583662	-0.53933616	-0.00054561003	2.3655112	-1.2877457e-05	5.9928585e-05	0.0001576012	6.2328575e-06	2.7092807	0.010323267	-0.00019463741	0.00016439119	0.62036563	2.4015631	2.6768152	0.99432482	0.53932301	-0.15839679	2.3655456	-0.011565291	3.1880117e-06	-1.640672e-05	3.0171181e-05	-2.1303871e-05	0.00043664759	2.7092353	2.1	1	0.2	-0.1136219	0.0001103694	-4.140837e-05	7.5114208e-05	1.4622434e-05	-0.26470825	-1.479576e-05	8.5886269e-05	-8.6428291e-07	0.1834168	0.43823999	1.2281089	1.6663489	-0.67574796	-0.268546	0.11532762	0.33994381	1.9984646	1.4102744	1.8170569	0.045969947	1.9815307	1.9745829	1.9745827	1.3828851	1.3274784	-1.813341e-06	2.1534798e-05	-6.3390201e-05	0.0001039556	6.1587435e-05	-6.1113635e-05	0.56728004	-2.8381564e-06	-0.00080111151	-6.3521173e-05	-1.1249613	-0.34110741	-0.58823078	-0.22924465	0.092731565	0.34067194	0.00026867371	-0.046308912	4.7620377e-05	-1.2809206e-05	-0.00032943349	2.3583853e-06	-1.2781773	-0.00019817109	-0.00019995111	-0.00022889788	-0.34118209	-1.1247574	-0.22912941	-0.58859472	-0.34066496	-0.092729743	-0.046310902	0.0055619284	2.3381928e-07	5.573459e-05	-4.6805421e-06	2.3795162e-05	-1.2630453e-06	-1.2781641	0.12537404	-5.206731e-05	4.9631147e-05	-8.514948e-05	-3.2878238e-06	0.56727942	3.9698667e-05	-7.8721784e-05	2	2	0	0	-94.65822	R0:S0:1	1.3274784	-61.32	uncorrelated	2	817c5bc	v2.2.6	YY	5	sharp_wc_2.0_b_50	self-energy/D/M	boucle2.py	2023-10-27@16:07
2x2_2C_8b_C2v_L	7.9041166	0	0	10	0	-0.2871739	-3.67445	-5.1576479	0.75410326	-4.6483631	-0.55179769	-0.55174157	-4.9050836	0	3.5	11.225	-0.00019198994	7.3539302e-06	-9.0579451e-06	-2.3056666e-05	4.7581752e-06	2.3696156e-06	-0.26904633	7.0845961e-06	0.00010036436	-6.7841641e-06	2.4256077	0.65592271	0.95853215	2.6653981	0.15300443	-0.53629227	0.0096995015	2.3585383	-3.9049214e-06	-2.5287837e-06	2.7151802e-05	-4.5386767e-06	2.7420649	0.00037572875	-4.6117232e-05	-1.8412654e-05	0.65114798	2.4273458	2.6670897	0.95231534	0.5365372	-0.15235111	2.3585193	-0.00040990482	1.4768053e-05	1.4359448e-05	-1.3781562e-05	8.6390375e-06	-0.0088010144	2.7420841	2.1	1	0.2	-0.12461553	-1.750778e-05	-1.0094514e-05	2.3369806e-05	1.7479257e-06	-0.26907437	-1.7975071e-05	6.9871485e-06	8.0255268e-08	0.18408738	0.43818343	1.2281451	1.6663285	-0.675458	-0.26839275	0.11526186	0.33776968	1.9982277	1.4032098	1.8257326	0.045217242	1.9815945	1.9745245	1.9745328	1.3904375	1.3252734	0.00021958695	-2.2181756e-06	9.8571754e-06	2.7888378e-05	-4.1145227e-06	-4.4399286e-05	0.56720732	-1.1287044e-05	-0.00013620349	9.8743246e-06	-1.132917	-0.34167881	-0.57527806	-0.22215164	0.092911165	0.33837787	-0.00471412	-0.046026948	1.0518681e-05	-8.4456115e-07	-6.0556457e-05	1.6826547e-06	-1.2744156	-1.2622497e-05	-3.168261e-05	3.4706775e-05	-0.34123223	-1.1341775	-0.22287909	-0.57295077	-0.33840822	-0.09302248	-0.046031726	0.0001943891	-2.2441813e-06	-2.5943763e-05	2.1743651e-06	-2.118035e-05	0.00017079093	-1.2744257	0.13579335	5.7823303e-06	9.4835817e-06	-3.0396048e-05	1.7353628e-06	0.56729829	2.7297583e-05	-5.0783021e-06	2	2	0	0	-95.410669	R0:S0:1	1.3252734	-61.8	uncorrelated	2	817c5bc	v2.2.6	YY	5	sharp_wc_2.0_b_50	self-energy/D/M	boucle2.py	2023-10-27@16:08
2x2_2C_8b_C2v_L	7.9011541	0	0	10	0	-0.31057842	-3.5575602	-5.0845097	0.82155932	-4.6199014	-0.60194099	-0.60216974	-4.703998	0	3.5	11.155	5.140594e-05	4.0424638e-06	-9.0267347e-06	-2.7504136e-05	-0.00010180329	3.6963529e-07	-0.26366962	4.8902031e-07	-6.5737032e-05	5.8962641e-05	2.3969696	0.61233742	1.0008614	2.6786226	0.15940961	-0.53975484	-0.0066943221	2.3657183	2.5564482e-05	6.0265374e-05	7.9496143e-05	-1.3221031e-05	2.7034819	0.0027080319	-8.6131254e-06	-0.00019937869	0.61364805	2.3964837	2.678174	1.0025511	0.53968275	-0.15959268	2.3657101	-0.0030202236	-5.7716069e-05	-1.7905483e-05	8.9100255e-06	-7.0322535e-05	0.0059857623	2.7034871	2.1	1	0.2	-0.11112316	-1.65884e-05	-1.0768147e-05	-2.1159077e-05	1.9785393e-06	-0.26361835	1.409116e-06	9.0968243e-05	8.4350068e-08	0.18331311	0.43824688	1.2281065	1.6663534	-0.67579061	-0.26856153	0.11533462	0.34032388	1.9985185	1.411841	1.8152255	0.046080137	1.9815337	1.974632	1.9746263	1.3816123	1.3278711	-5.9361499e-05	4.1235406e-06	8.0438564e-06	3.0989584e-05	8.5270901e-05	7.9277338e-06	0.56683378	-4.1828121e-06	9.1764714e-05	6.5084617e-05	-1.1232329	-0.3408693	-0.59114921	-0.23058059	0.092634807	0.34098376	0.0032109943	-0.046319575	-4.5420573e-05	-8.7553771e-06	-0.00015421994	4.068891e-06	-1.2788073	-5.396446e-05	2.5687747e-05	0.00025854597	-0.34099802	-1.1228785	-0.23038164	-0.59177891	-0.34097151	-0.092605147	-0.046317397	0.0014489859	8.2871415e-06	3.2270437e-05	-2.8321605e-06	0.00013855368	-0.00012002613	-1.2788099	0.12295203	1.125862e-05	1.2062956e-05	2.8500449e-05	-1.7371839e-06	0.56676373	3.5711791e-06	-7.87695e-05	2	2	0	0	-94.508584	R0:S0:1	1.3278711	-61.24	uncorrelated	2	817c5bc	v2.2.6	YY	5	sharp_wc_2.0_b_50	self-energy/D/M	boucle2.py	2023-10-27@16:13
