model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	6.3172196	0	0	14	0	-4.4456801	-8.5000804	-8.5119926	2.3825716	-10.482084	-3.6805859	-6.711994	-33.336039	0	2.5	12.88	-0.00024425506	-0.00014915919	0.00065096962	0.00014162276	-0.38976184	0.3186857	0.00083893748	-0.00084009496	-1.1249546	-0.53339679	2.7167689	1.5895707	-0.16433671	2.4407179	0.11562766	-0.42945814	-0.22761147	3.2529154	-0.27359594	0.33862857	-2.0760685	-0.032308969	4.5880756	1.9502813	-0.53522563	-1.1252518	1.6871821	2.7210348	2.3732815	-0.052122067	0.4291682	-0.11594235	3.249715	-0.1944914	0.33841275	-0.25997882	-0.060199781	-2.083749	1.9671717	4.5813369	2.1	1	0.2	-0.0064457788	-0.0026378627	3.4413999e-05	0.0022584764	0.00034604168	-0.00064271108	0.36065973	2.689134	1.0471159e-06	0.26471355	0.38021704	1.2864943	1.6667114	-0.47980065	-0.11285704	0.049712117	0.13958021	1.9085595	1.7787868	1.9941857	0.0073053138	1.9913093	1.9892846	1.8234206	1.9292518	1.132184	0.00012194815	6.4713499e-05	-0.00098830176	-0.00014989068	0.16682232	-0.24339249	-0.00056429001	0.0002075029	0.53649707	0.072151546	-0.83660076	-0.11255238	-0.032097022	-0.03138239	0.022815224	0.15147895	0.059452493	-0.026938513	0.15067967	-0.0069913387	0.76407954	0.00045904965	-0.43071225	-0.0059664062	0.072171337	0.53653358	-0.11372934	-0.83456141	-0.026716298	-0.066543453	-0.15140579	-0.022808873	-0.026926411	0.050809368	-0.0069881363	0.14318308	0.00076322305	0.76684608	-0.0060444493	-0.43006241	0.001842107	0.0015813515	4.7174366e-06	-0.00086708729	-0.00016360142	0.00048992055	-0.22595996	-0.51909048	2	2	0	0	-211.33342	R0:S0:1	1.132184	-83.04	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	0	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-28@15:36
2x2_2C_8b_C2v_L	6.3173029	0	0	14	0	-4.4508418	-8.5051237	-8.5113297	2.3713655	-10.482999	-3.6590061	-6.720966	-33.359337	0	2.5	12.89	9.674473e-05	9.1677594e-05	0.00057565008	9.8068902e-05	-0.38944911	0.31767213	0.00064967982	-0.001679606	-1.1230466	-0.53056977	2.71733	1.5898321	-0.16021922	2.4394992	0.11595855	-0.42883624	-0.22724011	3.2516113	-0.27169282	0.33563702	-2.0744803	-0.032220715	4.5933498	1.9513594	-0.53164521	-1.1222767	1.6856429	2.7222057	2.3737138	-0.05085711	0.42861353	-0.11632529	3.2491456	-0.19525251	0.33460467	-0.25860662	-0.059061593	-2.0820636	1.9688214	4.5851804	2.1	1	0.2	-0.0069326696	-0.0032664963	2.5494554e-05	0.0022435734	0.00050279047	-0.00067357446	0.36208449	2.6906007	9.8799004e-07	0.26477043	0.38021499	1.2864961	1.6667111	-0.47979192	-0.11285162	0.049709845	0.13954581	1.9088756	1.7784765	1.9941723	0.0072832819	1.9913279	1.9893161	1.8236268	1.9291851	1.1321545	-4.8020344e-05	-3.9312971e-05	-0.0009380398	-0.0001048755	0.16655038	-0.24286853	-0.00046830019	0.00037310642	0.53583773	0.071930073	-0.83712793	-0.11256115	-0.033295389	-0.031356009	0.022739756	0.15124487	0.059394712	-0.026859249	0.1504289	-0.0069476481	0.76368399	0.00047396376	-0.43112958	-0.0059578272	0.071990567	0.53544354	-0.1136897	-0.83533971	-0.026807015	-0.066903055	-0.15119827	-0.022727945	-0.026858395	0.051034939	-0.0069333195	0.14319009	0.0007600166	0.76644034	-0.0060368426	-0.43035295	0.00210548	0.0018048553	1.2022624e-05	-0.0008535852	-0.00024221387	0.00051383353	-0.22638304	-0.51888389	2	2	0	0	-211.41637	R0:S0:1	1.1321545	-83.12	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-28@15:44
2x2_2C_8b_C2v_L	6.3171969	0	0	14	0	-4.4714751	-8.4997137	-8.5340147	2.3616635	-10.496352	-3.6834106	-6.7406039	-33.36531	0	2.5	12.9	-0.00052118612	-0.00034234116	0.00069590238	0.00021674687	-0.39031351	0.32110881	0.00092395231	-0.001448796	-1.1237588	-0.5323017	2.7146466	1.5878746	-0.16891287	2.4413574	0.11481646	-0.42928515	-0.2276566	3.2539963	-0.27223128	0.33637825	-2.0749837	-0.029292285	4.5980172	1.9489126	-0.53322864	-1.1232946	1.6903917	2.7197922	2.3707327	-0.051689361	0.42902219	-0.11528596	3.2513465	-0.1914501	0.334934	-0.25801418	-0.059280639	-2.0837795	1.9672368	4.5884483	2.1	1	0.2	-0.0063343481	-0.0024162597	6.0492597e-05	0.0022550628	0.00071912317	-0.00086735226	0.36426988	2.6932455	1.4693112e-06	0.26477391	0.38021803	1.2864931	1.6667112	-0.47980192	-0.11285913	0.049712975	0.13953898	1.9089747	1.7782036	1.9942203	0.0073058947	1.9913325	1.9892958	1.8237812	1.9290609	1.1321316	0.00026080066	0.00014699809	-0.0010130392	-0.00022670696	0.16666304	-0.24454204	-0.00061973834	0.00032591691	0.53545259	0.07189354	-0.83766579	-0.11258659	-0.030637313	-0.031314939	0.022858583	0.15147489	0.059512401	-0.026881849	0.15037499	-0.006960315	0.76311149	0.00043248528	-0.4316457	-0.0059363868	0.07193501	0.53520354	-0.11380008	-0.83572414	-0.026444925	-0.066621862	-0.15142754	-0.022838664	-0.026882337	0.050053886	-0.0069381524	0.14252503	0.00075478712	0.76628452	-0.0060191861	-0.43071945	0.0017684936	0.001522511	-1.0656348e-05	-0.00084660072	-0.00034157467	0.00065470477	-0.22706232	-0.5191488	2	2	0	0	-211.66415	R0:S0:1	1.1321316	-83.2	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	4	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-28@15:56
2x2_2C_8b_C2v_L	6.3173318	0	0	14	0	-4.4670792	-8.501733	-8.5271268	2.3309617	-10.501803	-3.6510188	-6.7529997	-33.431374	0	2.5	12.91	-8.7813047e-05	-4.991833e-05	0.00074013603	0.00018235359	-0.38947027	0.32045232	0.00041342183	-0.0036581168	-1.1159208	-0.53106576	2.7185092	1.5910479	-0.16210401	2.4352117	0.11409956	-0.42537686	-0.22172819	3.2546504	-0.26933208	0.32969543	-2.0723703	-0.034101004	4.6174128	1.9605743	-0.53139674	-1.1154066	1.6834715	2.7231516	2.3719932	-0.056812036	0.42538142	-0.11444158	3.254673	-0.19894034	0.32589348	-0.25963052	-0.052087909	-2.0793204	1.9764156	4.6049753	2.1	1	0.2	-0.0054910299	-0.0012488413	8.7315646e-05	0.0021693848	0.00089161186	-0.00073746939	0.36800788	2.704468	1.2419421e-06	0.26492595	0.38021541	1.2864954	1.6667108	-0.47978683	-0.11285087	0.049709477	0.13943571	1.9098191	1.7773731	1.9942737	0.0072151561	1.991379	1.9892495	1.8243792	1.9287254	1.1320248	4.1170124e-05	2.8690536e-05	-0.0010490003	-0.00019103689	0.16603653	-0.24447916	-0.00030658484	0.00073123008	0.53303335	0.071442178	-0.83934087	-0.11256087	-0.032575982	-0.030873009	0.022710254	0.15045499	0.058003356	-0.026700552	0.14984903	-0.0068499784	0.76217792	0.00050420105	-0.43295634	-0.0059253371	0.071472584	0.53280948	-0.1136472	-0.83760872	-0.026507657	-0.064947918	-0.15050131	-0.022679194	-0.026729973	0.052032641	-0.0067935423	0.14446655	0.00068296303	0.76473665	-0.0059987584	-0.43176827	0.0012977808	0.0011212679	-2.9065454e-05	-0.00074096047	-0.00042925539	0.00056939763	-0.22867642	-0.52005845	2	2	0	0	-211.79963	R0:S0:1	1.1320248	-83.28	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	3	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-28@16:05
2x2_2C_8b_C2v_L	6.3172942	0	0	14	0	-4.4912244	-8.5021802	-8.5484597	2.3298356	-10.507935	-3.6589943	-6.7732166	-33.410051	0	2.5	12.92	0.00062206949	0.00045607084	0.00066239777	-5.2318776e-05	-0.38985258	0.32238117	0.0010070191	-0.00097703042	-1.1187737	-0.53279659	2.7154343	1.5869556	-0.17224054	2.439105	0.11394598	-0.42709904	-0.22900548	3.2546182	-0.26831159	0.33114033	-2.0742956	-0.028358722	4.6107943	1.9537081	-0.53261083	-1.1197081	1.6910507	2.7195831	2.3677147	-0.05395795	0.42683523	-0.11385317	3.254138	-0.19136364	0.32515728	-0.25614775	-0.058105185	-2.0832184	1.9685476	4.5996421	2.1	1	0.2	-0.0063502854	-0.0023588467	-1.3127353e-05	0.0022368654	0.0019253076	-0.0013103495	0.36875561	2.6997164	2.9493577e-06	0.26490583	0.38021635	1.2864944	1.6667107	-0.47979026	-0.1128538	0.049710676	0.13944822	1.9096109	1.7774543	1.9942908	0.0072571352	1.9913647	1.9893219	1.8242881	1.9288146	1.1320358	-0.00030676192	-0.00019296466	-0.00098657116	5.1709521e-05	0.16604051	-0.24543427	-0.00065253152	0.00023610461	0.53329459	0.071569539	-0.83938127	-0.11250459	-0.029490149	-0.031028624	0.022796751	0.15097069	0.059943333	-0.026733543	0.1493469	-0.006885926	0.76205247	0.00042007422	-0.43272868	-0.0059051083	0.071515257	0.53374286	-0.1137748	-0.83709787	-0.02612139	-0.065821312	-0.15089499	-0.022813368	-0.026766269	0.050095414	-0.0067913566	0.14257451	0.00073102009	0.76527585	-0.005965811	-0.43164316	0.0017630272	0.0015200742	4.991219e-05	-0.00081349659	-0.00092198429	0.00098613234	-0.22854269	-0.5193954	2	2	0	0	-211.95425	R0:S0:1	1.1320358	-83.36	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	3	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-28@16:14
2x2_2C_8b_C2v_L	6.3173545	0	0	14	0	-4.4769613	-8.5133907	-8.5540913	2.301053	-10.529434	-3.6252235	-6.7838231	-33.476789	0	2.5	12.93	-0.00046652048	-0.00027976802	0.00054336058	0.00033853415	-0.39084493	0.32203512	2.7812508e-05	-0.0036794704	-1.1101801	-0.53258734	2.7204975	1.5879785	-0.16367853	2.4364578	0.11292871	-0.42407649	-0.2130758	3.2596936	-0.26200689	0.32213602	-2.0738814	-0.03418374	4.6278048	1.960495	-0.53161005	-1.1106994	1.682418	2.7243702	2.372232	-0.057149114	0.42388221	-0.11262602	3.2593526	-0.2011351	0.32183018	-0.25592658	-0.044174383	-2.0782648	1.9727199	4.6182182	2.1	1	0.2	-0.0074467573	-0.0036610168	0.000117921	0.0022642371	5.5542982e-05	-0.00028413876	0.37211339	2.710836	-2.3417588e-07	0.26501299	0.38021564	1.2864948	1.6667105	-0.47978257	-0.11285074	0.049709332	0.13934389	1.9103179	1.7768252	1.9943086	0.0071941142	1.991423	1.9893866	1.8246872	1.9284926	1.1319214	0.00023700809	0.00012056145	-0.00090831564	-0.00035529587	0.16608998	-0.24566649	-8.1310491e-05	0.00072588153	0.53130875	0.071228848	-0.84062961	-0.11247413	-0.032026723	-0.030733672	0.02271613	0.1502767	0.05575105	-0.026634481	0.14693481	-0.0067553546	0.76201465	0.00048198404	-0.43374385	-0.0058863086	0.071179355	0.53161514	-0.1136158	-0.83859853	-0.026320754	-0.064765318	-0.15019472	-0.022749948	-0.026648886	0.052618293	-0.0067554022	0.14353801	0.00057669511	0.76364199	-0.0059425437	-0.43283746	0.0023365298	0.0019892333	-4.907604e-05	-0.00083821901	-3.0874487e-05	0.00022527042	-0.22999918	-0.52030826	2	2	0	0	-212.14132	R0:S0:1	1.1319214	-83.44	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	4	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-28@16:29
2x2_2C_8b_C2v_L	6.3173849	0	0	14	0	-4.5079004	-8.503541	-8.5654187	2.2819838	-10.553276	-3.580555	-6.8063013	-33.427321	0	2.5	12.94	0.00074468717	0.00054735443	0.00060755318	-5.3681087e-05	-0.39232233	0.32121545	0.00057187822	-0.0035250352	-1.1128154	-0.53591893	2.7162325	1.5862149	-0.17754664	2.4351957	0.11194521	-0.42257436	-0.22112086	3.2647618	-0.26028436	0.31692769	-2.0723418	-0.028947341	4.631587	1.9529916	-0.53358486	-1.1143985	1.6914612	2.7200478	2.3638016	-0.05955362	0.42260847	-0.11137181	3.2627617	-0.19534178	0.31677739	-0.24879664	-0.050408078	-2.0800385	1.9717172	4.6197334	2.1	1	0.2	-0.0067603041	-0.0027660565	-1.9680025e-05	0.0022465029	0.00011598336	-0.00046016955	0.37513605	2.710207	2.5839539e-07	0.26505859	0.38021534	1.2864949	1.6667102	-0.4797782	-0.11284974	0.049708822	0.13930225	1.9103169	1.7765974	1.9944031	0.0071684017	1.9914154	1.9894782	1.8250951	1.9282238	1.1318756	-0.00036841458	-0.0002319682	-0.00094528827	4.9383987e-05	0.16636046	-0.24582142	-0.00041152782	0.00070856752	0.53105134	0.071210521	-0.84122018	-0.11240019	-0.027705018	-0.030558469	0.022731143	0.14995473	0.057818253	-0.02660655	0.14734798	-0.0067158008	0.76055739	0.00039937355	-0.43490096	-0.0058524281	0.071080478	0.53190888	-0.11369829	-0.83880153	-0.025677427	-0.063965802	-0.14994936	-0.022763118	-0.026609122	0.051080816	-0.006716496	0.14085725	0.00062116338	0.76335276	-0.0059408885	-0.43376112	0.0019800784	0.0016656045	4.8747309e-05	-0.00081878984	-5.4336401e-05	0.00036346296	-0.23109071	-0.5204968	2	2	0	0	-212.15323	R0:S0:1	1.1318756	-83.52	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	4	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-28@16:43
2x2_2C_8b_C2v_L	6.317356	0	0	14	0	-4.4991101	-8.5078514	-8.5731194	2.2853464	-10.532931	-3.5932417	-6.8097789	-33.463525	0	2.5	12.95	6.3155355e-05	4.5996438e-05	0.00090399786	-3.7437288e-05	-0.38932057	0.32240607	0.00047468339	-0.0032611634	-1.1046698	-0.52624517	2.7209857	1.5900074	-0.16091704	2.4362058	0.11290936	-0.42472559	-0.21637659	3.2593836	-0.25973456	0.31473084	-2.0695255	-0.030127622	4.6389024	1.9618371	-0.52705116	-1.104373	1.6803891	2.7253775	2.3738392	-0.056848292	0.42444815	-0.11347083	3.2594487	-0.19886958	0.31193859	-0.25255706	-0.043721948	-2.0756372	1.9745363	4.6271985	2.1	1	0.2	-0.0048825894	-0.00028759587	-1.1833669e-05	0.0022205999	0.00066868945	-0.00051965219	0.37703093	2.7125878	8.9136366e-07	0.26509083	0.38021614	1.2864938	1.66671	-0.47978064	-0.11285186	0.049709731	0.13925353	1.9113724	1.775673	1.994315	0.0071999263	1.991445	1.9894084	1.8254027	1.9281268	1.1318197	-3.4360984e-05	-1.1345936e-05	-0.0011534775	3.6280987e-05	0.16508644	-0.24606914	-0.00031594728	0.00063589729	0.52846855	0.070654754	-0.84270645	-0.11267847	-0.032813551	-0.030639425	0.022723526	0.15035306	0.056692424	-0.026568481	0.14697319	-0.0066613402	0.76017181	0.00045927441	-0.43536524	-0.0058774178	0.070683246	0.52830717	-0.11373708	-0.84096202	-0.026337273	-0.064796762	-0.15031317	-0.022694663	-0.0265909	0.052098554	-0.0066190902	0.14292037	0.00059390075	0.76239216	-0.0059369641	-0.43422825	0.00095136137	0.00081256102	4.4267225e-05	-0.00075566949	-0.00031646995	0.00040324902	-0.23176227	-0.52028314	2	2	0	0	-212.26648	R0:S0:1	1.1318197	-83.6	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-28@16:50
2x2_2C_8b_C2v_L	6.3174514	0	0	14	0	-4.5287138	-8.5120035	-8.5786862	2.2596893	-10.556962	-3.5520459	-6.8320991	-33.395063	0	2.5	12.96	0.00050093458	0.00036288585	0.00073878301	-9.303972e-05	-0.39052119	0.32191232	0.00045149528	-0.0027442807	-1.1105252	-0.53294178	2.7161577	1.5850699	-0.17817229	2.4352831	0.111682	-0.42208352	-0.21482703	3.2648286	-0.25523188	0.30908892	-2.0700265	-0.026060361	4.6388189	1.9508995	-0.53196554	-1.1109108	1.6917297	2.7210566	2.3622047	-0.057096979	0.42190006	-0.11174198	3.2642281	-0.19366738	0.30709642	-0.24699253	-0.043081703	-2.0762011	1.9645184	4.6284875	2.1	1	0.2	-0.0060033139	-0.0016588111	-3.8928167e-05	0.0022169721	0.00061903786	-0.00057823476	0.38018882	2.7097165	8.2470151e-07	0.26517099	0.38021419	1.2864953	1.6667095	-0.47976948	-0.11284669	0.049707466	0.13919793	1.9108138	1.7760627	1.9944181	0.0071472402	1.9914884	1.9895361	1.8257299	1.9278566	1.131766	-0.00024749789	-0.00014946037	-0.0010338488	9.4974675e-05	0.16521966	-0.24637776	-0.00032245862	0.00055382722	0.52996403	0.070842561	-0.84220797	-0.1123582	-0.027403759	-0.030504027	0.022682976	0.14977217	0.056264965	-0.026497722	0.14571829	-0.0066018595	0.7594821	0.00038632407	-0.43640445	-0.0058276704	0.070800493	0.53020583	-0.11362163	-0.84006154	-0.025499441	-0.064642125	-0.14972827	-0.022685306	-0.026514932	0.050723043	-0.0065724731	0.14102225	0.00055744098	0.76172854	-0.0058889678	-0.43540818	0.001549179	0.0012994977	6.9835684e-05	-0.00075840453	-0.00029577521	0.00044637458	-0.23288393	-0.52029471	2	2	0	0	-212.25941	R0:S0:1	1.131766	-83.68	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	4	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-28@17:03
2x2_2C_8b_C2v_L	6.3174238	0	0	14	0	-4.5171089	-8.498933	-8.5979262	2.2505818	-10.56268	-3.5235579	-6.8403028	-33.456369	0	2.5	12.97	0.0032656677	0.0022576761	0.00034973996	-0.00059720948	-0.39068378	0.32098368	0.00036204284	-0.0017987133	-1.0983397	-0.52888483	2.7210748	1.5843138	-0.15620441	2.4368685	0.11082269	-0.42224182	-0.21609236	3.2645873	-0.25283149	0.30460557	-2.0670234	-0.030363102	4.6520569	1.9647356	-0.52556939	-1.0964795	1.6730989	2.7262461	2.3775752	-0.057590138	0.42231499	-0.11099694	3.2647531	-0.20149124	0.30195409	-0.24773413	-0.041681754	-2.0713897	1.9731387	4.6443731	2.1	1	0.2	-0.0087995725	-0.005055042	-0.00021408204	0.0023181303	0.00074332526	-0.00049364395	0.38299147	2.7180234	9.5031838e-07	0.26520369	0.3802155	1.286494	1.6667095	-0.47977125	-0.11284916	0.049708451	0.13913384	1.9123645	1.7745487	1.9943308	0.007161254	1.9914597	1.9895086	1.8262496	1.9276214	1.1316894	-0.0016139396	-0.00096703881	-0.00077898721	0.00063193455	0.16507976	-0.24607119	-0.00025257076	0.00035832437	0.52576211	0.070166632	-0.84478957	-0.11269204	-0.034156854	-0.030438037	0.022768422	0.14986496	0.056599984	-0.026466109	0.14532749	-0.0065539045	0.75866406	0.00045327304	-0.43710549	-0.0058685104	0.07019796	0.52512095	-0.1137084	-0.84334405	-0.0263746	-0.064455803	-0.14991722	-0.022750219	-0.026485668	0.052773212	-0.0065124964	0.14239985	0.00056535124	0.76025304	-0.0059056313	-0.43636038	0.0030409647	0.0025099101	0.00018889773	-0.00087329279	-0.00035199203	0.0003725169	-0.23407166	-0.52077298	2	2	0	0	-212.39021	R0:S0:1	1.1316894	-83.76	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	3	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-28@17:14
